what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.datatools.connectivity.ui,1.1.0.v200806040132,org.eclipse.datatools.connectivity.ui,1223473529396
stopped,bundle,org.eclipse.ui.navigator,3.3.100.I20080606-1300,org.eclipse.ui.navigator,1223473529396
stopped,bundle,org.eclipse.ui.net,1.0.0.I20080605,org.eclipse.ui.net,1223473529396
stopped,bundle,org.eclipse.ui.presentations.r21,3.2.100.I20080512-2000,org.eclipse.ui.presentations.r21,1223473529397
stopped,bundle,org.eclipse.rse.services.dstore,3.0.0.v20080609,org.eclipse.rse.services.dstore,1223473529397
stopped,bundle,org.eclipse.dstore.core,3.0.0.v20080604,org.eclipse.dstore.core,1223473529397
stopped,bundle,org.eclipse.dstore.extra,2.1.0.v20080406,org.eclipse.dstore.extra,1223473529398
stopped,bundle,org.eclipse.gef,3.4.0.v20080526,org.eclipse.gef,1223473529398
stopped,bundle,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views,1223473529398
stopped,bundle,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.workbench.texteditor,1223473529398
stopped,bundle,org.eclipse.datatools.enablement.ibm.ui,1.0.0.v200805152355,org.eclipse.datatools.enablement.ibm.ui,1223473529398
