what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.0.v20080427-2136,org.eclipse.equinox.p2.exemplarysetup,1223453679282
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.0.v20080523-0001,org.eclipse.equinox.p2.extensionlocation,1223453679283
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.0.v20080506-1939,org.eclipse.equinox.p2.garbagecollector,1223453679283
started,bundle,org.eclipse.equinox.p2.metadata,1.0.0.v20080514-1900,org.eclipse.equinox.p2.metadata,1223453679284
started,bundle,org.eclipse.equinox.p2.metadata.generator,1.0.0.v20080604,org.eclipse.equinox.p2.metadata.generator,1223453679285
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.0.v20080604,org.eclipse.equinox.p2.metadata.repository,1223453679285
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.0.v20080611,org.eclipse.equinox.p2.reconciler.dropins,1223453679286
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,1.0.0.v20080529-1225,org.eclipse.equinox.p2.touchpoint.eclipse,1223453679286
started,bundle,org.eclipse.equinox.p2.ui,1.0.0.v20080530-1237,org.eclipse.equinox.p2.ui,1223453679287
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.0.v20080605-1731,org.eclipse.equinox.p2.ui.sdk,1223453679288
started,bundle,org.eclipse.equinox.p2.updatechecker,1.0.0.v20080427-2136,org.eclipse.equinox.p2.updatechecker,1223453679289
started,bundle,org.eclipse.equinox.preferences,3.2.200.v20080421-2006,org.eclipse.equinox.preferences,1223453679289
started,bundle,org.eclipse.equinox.registry,3.4.0.v20080516-0950,org.eclipse.equinox.registry,1223453679290
started,bundle,org.eclipse.equinox.security,1.0.0.v20080512-1800,org.eclipse.equinox.security,1223453679291
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.0.v20080427-2136,org.eclipse.equinox.simpleconfigurator.manipulator,1223453679294
started,bundle,org.eclipse.help,3.3.100.v20080610,org.eclipse.help,1223453679295
started,bundle,org.eclipse.jface,3.4.0.I20080606-1300,org.eclipse.jface,1223453679296
started,bundle,org.eclipse.team.core,3.4.0.I20080605,org.eclipse.team.core,1223453679297
started,bundle,org.eclipse.team.ui,3.4.0.I20080604,org.eclipse.team.ui,1223453679298
started,bundle,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui,1223453679300
started,bundle,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console,1223453679301
started,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1223453679302
started,bundle,org.eclipse.ui.forms,3.3.100.v20080611,org.eclipse.ui.forms,1223453679304
started,bundle,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.ide,1223453679305
started,bundle,org.eclipse.ui.intro,3.2.200.v20080610,org.eclipse.ui.intro,1223453679313
