what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223455844548
started,bundle,org.eclipse.ltk.core.refactoring,3.4.0.v20080603-2000,org.eclipse.ltk.core.refactoring,1223455861718
started,bundle,org.eclipse.debug.core,3.4.0.v20080612,org.eclipse.debug.core,1223455914496
started,bundle,org.eclipse.debug.ui,3.4.0.v20080529-1300,org.eclipse.debug.ui,1223455914715
started,bundle,org.maven.ide.components.maven_model_edit,1.0.0.20080717-1819,org.maven.ide.components.maven_model_edit,1223455929431
started,bundle,org.maven.ide.eclipse,0.9.5.20080717-1819,org.maven.ide.eclipse,1223455929532
started,bundle,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search,1223455949933
started,bundle,org.eclipse.rse.services,3.0.0.v20080604,org.eclipse.rse.services,1223455950130
started,bundle,org.eclipse.rse.core,3.0.0.v20080616,org.eclipse.rse.core,1223455950250
started,bundle,org.eclipse.rse.ui,3.0.0.v20080613,org.eclipse.rse.ui,1223455950639
started,bundle,org.eclipse.rse.subsystems.files.core,3.0.0.v20080606,org.eclipse.rse.subsystems.files.core,1223455950653
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.0.v20080604,org.eclipse.rse.subsystems.files.local,1223455950654
started,bundle,org.eclipse.rse.subsystems.shells.core,3.0.0.v20080604,org.eclipse.rse.subsystems.shells.core,1223455950725
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.0.v20080604,org.eclipse.rse.subsystems.shells.local,1223455950727
started,bundle,org.eclipse.rse.files.ui,3.0.0.v20080609,org.eclipse.rse.files.ui,1223455950761
started,bundle,org.eclipse.rse.connectorservice.local,2.1.0.v20080604,org.eclipse.rse.connectorservice.local,1223455950803
started,bundle,org.eclipse.rse.services.local,2.1.0.v20080604,org.eclipse.rse.services.local,1223455950840
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223455952264
opened,view,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search.ui.views.SearchView,1223455978117
activated,view,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search.ui.views.SearchView,1223455978143
executed,command,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search.ui.openSearchDialog,1223455978629
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223455978693
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223455979224
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223455995590
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1223456016711
