what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search.ui.openFileSearchPage,1223456976721
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223456976744
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223456978664
executed,command,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search.ui.openSearchDialog,1223457026206
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223457026224
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223457032238
executed,command,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search.ui.openSearchDialog,1223457044249
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223457044280
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223457044841
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223457055187
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223457082710
executed,command,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search.ui.openSearchDialog,1223457092441
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223457092476
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223457093014
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223457102290
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223457133261
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223463457530
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223463458906
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223463549138
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223463552637
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223463606000
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223463609122
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223464625829
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223464636298
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223467901602
