what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.core,1.1.300.v200805221633,org.eclipse.wst.sse.core,1223453679396
started,bundle,org.eclipse.wst.validation,1.2.0.v200806051402,org.eclipse.wst.validation,1223453679397
started,bundle,org.eclipse.wst.web,1.1.202.v200805140200,org.eclipse.wst.web,1223453679397
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.0.v200806031937,org.eclipse.wst.ws.service.policy.ui,1223453679398
started,bundle,org.eclipse.wst.xml.core,1.1.300.v200806051910,org.eclipse.wst.xml.core,1223453679400
started,bundle,org.tigris.subversion.clientadapter,1.5.2,org.tigris.subversion.clientadapter,1223453679400
started,bundle,org.tigris.subversion.subclipse.core,1.4.5,org.tigris.subversion.subclipse.core,1223453679400
started,bundle,org.tigris.subversion.subclipse.ui,1.4.5,org.tigris.subversion.subclipse.ui,1223453679401
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.monitor.ui,1223453679479
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1223453679615
started,bundle,org.eclipse.team.cvs.core,3.3.100.I20080605,org.eclipse.team.cvs.core,1223453679617
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1223453679812
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223453685806
started,bundle,org.tigris.subversion.clientadapter.javahl,1.5.2.1,org.tigris.subversion.clientadapter.javahl,1223453707653
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1223453731575
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1223453731576
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223453731598
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223453735001
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1223453751060
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1223453751062
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223453751078
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223453751625
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223453756744
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223453760179
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223453770871
