what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223454894427
started,bundle,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser,1223454900101
started,bundle,org.eclipse.wst.server.core,1.1.0.v20080530,org.eclipse.wst.server.core,1223454900799
started,bundle,org.eclipse.wst.server.ui,1.1.0.v20080515,org.eclipse.wst.server.ui,1223454900839
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223454902678
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223454941322
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223454944350
started,bundle,org.tigris.subversion.clientadapter.javahl,1.5.2.1,org.tigris.subversion.clientadapter.javahl,1223454948685
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.5.2,org.tigris.subversion.clientadapter.svnkit,1223454948685
started,bundle,org.tmatesoft.svnkit,1.2.0.4949,org.tmatesoft.svnkit,1223454948836
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1223455025298
opened,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1223455025682
started,bundle,com.sun.jna,3.0.5,com.sun.jna,1223455093152
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1223455311533
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1223455311539
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223455311557
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223455317212
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1223455331631
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1223455331634
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223455331689
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223455332238
started,bundle,org.eclipse.jst.servlet.ui,1.1.200.v200805150230,org.eclipse.jst.servlet.ui,1223455522074
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223455530313
started,bundle,org.eclipse.jst.j2ee.ui,1.1.200.v200805140020,org.eclipse.jst.j2ee.ui,1223455530485
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223455532457
