what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1223537607630
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223537620497
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223538295753
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223538302501
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223539085107
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1223539089355
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223539091670
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223539093394
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223542604738
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223542630253
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223542632274
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223544654249
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1223544657395
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223544689241
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223544783949
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223544794370
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223544818720
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.refresh,1223544824737
started,bundle,org.tigris.subversion.clientadapter.javahl,1.5.2.1,org.tigris.subversion.clientadapter.javahl,1223544824900
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.5.2,org.tigris.subversion.clientadapter.svnkit,1223544824914
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223544825866
started,bundle,org.tmatesoft.svnkit,1.2.0.4949,org.tmatesoft.svnkit,1223544825942
started,bundle,com.sun.jna,3.0.5,com.sun.jna,1223544827649
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223544828404
started,bundle,org.eclipse.wst.dtd.core,1.1.200.v200805140200,org.eclipse.wst.dtd.core,1223544829058
