what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223456018933
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223456057824
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223456071299
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223456100895
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223456239109
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223456250170
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223456263272
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223456265035
opened,view,org.eclipse.team.ui,3.4.0.I20080604,org.eclipse.team.ui.GenericHistoryView,1223456307281
activated,view,org.eclipse.team.ui,3.4.0.I20080604,org.eclipse.team.ui.GenericHistoryView,1223456307321
executed,command,org.tigris.subversion.subclipse.ui,1.4.5,org.tigris.subversion.subclipse.ui.showresourceinhistoryaction,1223456307777
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1223456333820
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1223456341879
activated,view,org.eclipse.team.ui,3.4.0.I20080604,org.eclipse.team.ui.GenericHistoryView,1223456345393
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223456347983
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1223456348065
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223456348224
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223456353027
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223456357350
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223456365985
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223456417329
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1223456420238
activated,view,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search.ui.views.SearchView,1223456424692
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223456492285
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223456694769
