what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.j2ee.core,1.1.200.v200806052000,org.eclipse.jst.j2ee.core,1223455536465
started,bundle,org.eclipse.jem,2.0.200.v200806051600,org.eclipse.jem,1223455536486
started,bundle,org.eclipse.jst.jee,1.0.100.v200805140020,org.eclipse.jst.jee,1223455537386
started,bundle,org.eclipse.wst.sse.core,1.1.300.v200805221633,org.eclipse.wst.sse.core,1223455537417
started,bundle,org.eclipse.jem.ui,2.0.100.v200806051600,org.eclipse.jem.ui,1223455537439
started,bundle,org.eclipse.wst.xml.core,1.1.300.v200806051910,org.eclipse.wst.xml.core,1223455537448
started,bundle,org.eclipse.wst.common.modulecore,1.1.200.v200806091800,org.eclipse.wst.common.modulecore,1223455537522
started,bundle,org.eclipse.wst.validation,1.2.0.v200806051402,org.eclipse.wst.validation,1223455537535
started,bundle,org.eclipse.jst.j2ee,1.1.200.v200806051600,org.eclipse.jst.j2ee,1223455537562
started,bundle,org.eclipse.wst.web,1.1.202.v200805140200,org.eclipse.wst.web,1223455537580
started,bundle,org.eclipse.jst.common.project.facet.core,1.3.0.v200805151903,org.eclipse.jst.common.project.facet.core,1223455543460
started,bundle,org.eclipse.wst.dtd.core,1.1.200.v200805140200,org.eclipse.wst.dtd.core,1223455545302
started,bundle,org.eclipse.wst.sse.ui,1.1.0.v200806041847,org.eclipse.wst.sse.ui,1223455545525
started,bundle,org.eclipse.wst.html.ui,1.0.300.v200805152207,org.eclipse.wst.html.ui,1223455545589
started,bundle,org.eclipse.jst.jsp.core,1.2.100.v200806050300,org.eclipse.jst.jsp.core,1223455545957
started,bundle,org.eclipse.wst.html.core,1.1.200.v200806050300,org.eclipse.wst.html.core,1223455546028
started,bundle,org.eclipse.wst.wsdl.validation,1.1.301.v200805140300,org.eclipse.wst.wsdl.validation,1223455546204
started,bundle,org.eclipse.wst.xsd.core,1.1.300.v200805282012,org.eclipse.wst.xsd.core,1223455546228
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223455628095
started,bundle,org.eclipse.jst.jee.ui,1.0.100.v200805221242,org.eclipse.jst.jee.ui,1223455631036
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223455667353
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223455673987
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223455708714
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223455811213
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223455843747
