what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223453775858
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1223453822809
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1223453822810
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223453822883
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223453823380
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223453844074
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223453845349
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223453895614
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223453898889
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223453968381
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223453970246
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223454068285
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223454072806
started,bundle,org.eclipse.ecf.filetransfer,2.0.0.v20080611-1715,org.eclipse.ecf.filetransfer,1223454079600
started,bundle,org.eclipse.ecf.provider.filetransfer,2.0.0.v20080611-1715,org.eclipse.ecf.provider.filetransfer,1223454079626
started,bundle,org.eclipse.ecf.identity,2.0.0.v20080611-1715,org.eclipse.ecf.identity,1223454079651
started,bundle,org.eclipse.ecf,2.0.0.v20080611-1715,org.eclipse.ecf,1223454079672
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.0.v20080529-1800,org.eclipse.equinox.p2.updatesite,1223454080717
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.0.v20080605-1731,org.eclipse.equinox.p2.ui.sdk.update,1223454181892
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223454181936
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223454182436
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223454645473
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1223454646475
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1223454646477
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1223454646477
