what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1223456699552
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223456709958
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223456743165
activated,view,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search.ui.views.SearchView,1223456805765
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223456813206
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223456820839
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1223456848277
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1223456853888
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1223456854627
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1223456871806
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1223456872133
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1223456872227
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223456892538
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223456943667
started,bundle,org.eclipse.help.base,3.3.100.v20080617,org.eclipse.help.base,1223456950640
started,bundle,org.eclipse.help.ui,3.3.100.v20080521,org.eclipse.help.ui,1223456950654
started,bundle,org.eclipse.ui.cheatsheets,3.3.100.v20080508,org.eclipse.ui.cheatsheets,1223456951322
started,bundle,org.eclipse.ui.intro,3.2.200.v20080610,org.eclipse.ui.intro,1223456951329
opened,view,org.eclipse.help.ui,3.3.100.v20080521,org.eclipse.help.ui.HelpView,1223456951791
started,bundle,org.eclipse.ui.intro.universal,3.2.200.v20080508,org.eclipse.ui.intro.universal,1223456952352
activated,view,org.eclipse.help.ui,3.3.100.v20080521,org.eclipse.help.ui.HelpView,1223456952515
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.help.helpSearch,1223456952996
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1223456963761
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1223456971888
activated,view,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search.ui.views.SearchView,1223456976416
